"Área de referencia","Fuente","Desajuste","Actividad económica","Año","Mujeres","Hombres"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","3296.5","3616.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2025","4574.2","2493.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Sobre educado","Sin clasificar","2025","35.2","55.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","No clasificado en otra parte","Total","2025","167.3","1005.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","No clasificado en otra parte","Agricultura","2025","60.5","247.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","No clasificado en otra parte","Manufacturas","2025","2.5","3.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","No clasificado en otra parte","Construcción","2025","0","3"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025",,
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","3.2","6.3"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2025","98.7","742.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","No clasificado en otra parte","Sin clasificar","2025","2.3","3.1"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Total","Total","2023","60.1","63.8"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Total","Agricultura","2023","0.5","1.2"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Total","Manufacturas","2023","2.7","4.5"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Total","Construcción","2023","0.6","9.8"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2023","0.9","1.5"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2023","28.2","27.1"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Total","Administración pública y servicios y actividades comunales y sociales","2023","27.1","19.7"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Total","2023","7.4","7.7"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Agricultura","2023",,"0.1"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Manufacturas","2023","0.4","0.7"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Construcción","2023","0.1","0.6"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2023","0.3","0.3"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2023","3.6","4.4"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Administración pública y servicios y actividades comunales y sociales","2023","2.9","1.7"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Total","2023","24.3","27.1"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Agricultura","2023","0.3","0.7"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Manufacturas","2023","1.2","1.8"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Construcción","2023","0.3","5.6"
